frida-extract 13.abb3f14-3
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fzf 0.64.0-1
garcon 4.20.0-2
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcc14-libs 14.3.1+r25+g42e99e057bd7-1
gconf 3.2.6+11+g07808097-6
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gdu 5.31.0-1
gegl 0.4.62-1
gendesk 1.0.10-1
geoip 1.6.12-3
geoip-database 20250129-1
gettext 0.26-1
gfxstream 0.1.2-2
ghc-libs 9.4.8-1
ghidra 11.0.3-1
ghostscript 10.05.1-2
giflib 5.2.2-2
gimp 3.0.4-3
git 2.50.1-3
gitleaks 8.27.2-1
glew 2.2.0-7
glfw 3.4-2
glib-networking 1:2.80.1-1
glib2 2.84.3-1
glib2-docs 2.84.3-1
glibc 2.41+r65+ge7c419a29575-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glm 1.0.1-1
glslang 1:1.4.321.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-desktop 1:44.3-1
gnome-desktop-common 1:44.3-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnuradio 3.10.12.0-3
gnuradio-iqbal 0.38.3-1
gnuradio-osmosdr 0.2.6-10
gnutls 3.8.10-1
go 2:1.24.5-1
gobject-introspection-runtime 1.84.0-2
gobuster 3.7.0-2
goocanvas 3.0.0-7
google-chrome 138.0.7204.168-1
google-earth-pro 7.3.6.10201-2
gperf 3.1-5
gperftools 2.16-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gping 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-6
gqrx 2.17.7-1
graphene 1.10.8-2
graphicsmagick 1.3.45-5
graphite 1:1.3.14-5
graphviz 13.1.0-2
grc 1.13-2
grep 3.12-2
groff 1.23.0-7
grpc 1.73.1-1
grub 2:2.12.r292.g73d1c959-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsl 2.8-1
gsm 1.0.22-2
gsocket 1.4.43-1
gspell 1.14.0-2
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.4.7-1
gst-plugins-bad-libs 1.26.4-1
gst-plugins-base 1.26.4-1
gst-plugins-base-libs 1.26.4-1
gst-plugins-good 1.26.4-1
gstreamer 1.26.4-1
gtest 1.17.0-1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.2-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.18.6-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.49-2
gtk4 1:4.18.6-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gts 0.7.6.121130-3
guile 3.0.10-1
gunicorn 23.0.0-2
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gvfs 1.57.2-4
gzip 1.14-2
hackrf 2024.02.1-4
hakuneko-desktop-nightly-debug 8.3.4-1
harfbuzz 11.2.1-1
harfbuzz-icu 11.2.1-1
hashcat 1:6.2.6-2
hashcat-utils 1.9-3
haskell-aeson 2.1.2.1-108
haskell-ansi-terminal 1.0.2-20
haskell-ansi-terminal-types 0.11.5-60
haskell-ansi-wl-pprint 0.6.9-479
haskell-assoc 1.1.1-30
haskell-attoparsec 0.14.4-107
haskell-base-compat 0.12.3-1
haskell-base-compat-batteries 0.12.3-12
haskell-base-orphans 0.9.1-12
haskell-bifunctors 5.6-191
haskell-colour 2.3.6-270
haskell-comonad 5.0.9-48
haskell-contravariant 1.5.5-5
haskell-data-fix 0.3.4-2
haskell-diff 0.4.1-107
haskell-distributive 0.6.2.1-243
haskell-dlist 1.0-281
haskell-erf 2.0.0.0-26
haskell-fgl 5.8.3.0-31
haskell-foldable1-classes-compat 0.1-191
haskell-generically 0.1.1-19
haskell-hashable 1.4.4.0-96
haskell-indexed-traversable 0.1.4-104
haskell-indexed-traversable-instances 0.1.2-52
haskell-integer-logarithms 1.0.4-8
haskell-onetuple 0.4.2-46
haskell-optparse-applicative 0.17.1.0-96
haskell-os-string 2.0.7-38
haskell-primitive 0.8.0.0-25
haskell-quickcheck 2.14.3-154
haskell-random 1.2.1.2-95
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-12
haskell-scientific 0.3.7.0-146
haskell-semialign 1.3-41
haskell-semigroupoids 6.0.1-24
haskell-splitmix 0.1.0.5-85
haskell-statevar 1.2.2-4
haskell-strict 0.5-76
haskell-tagged 0.8.9-2
haskell-tasty 1.4.3-138
haskell-text-short 0.1.6-31
haskell-th-abstraction 0.5.0.0-1
haskell-these 1.2.1-14
haskell-time-compat 1.9.6.1-129
haskell-transformers-compat 0.7.2-3
haskell-unordered-containers 0.2.20-60
haskell-uuid-types 1.0.6-20
haskell-vector 0.13.2.0-17
haskell-vector-stream 0.1.0.1-3
haskell-witherable 0.4.2-159
hcxdumptool 6.3.5-1
hcxkeys 6.2.1-3
hcxtools 6.3.5-1
hdf5 1.14.6-5
help2man 1.49.3-2
hexyl 0.16.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.2.0-1
honeyd 337.a0f3d64-2
hping 3.0.0-6
hsetroot 1.0.5-2
htop 3.4.1-1
httping 4.4.0-1
httptunnel 3.3-9
httrack 3.49.5-1
hunspell 1.7.2-2
hwdata 0.397-1
hwloc 2.12.1-1
hydra 9.5-2
hyphen 2.8.8-6
i2pd 2.57.0-2
iaito 5.9.9-1
iana-etc 20250612-1
icu 76.1-1
ijs 0.35-6
imagej 2:1.54p-1
imagemagick 7.1.2.0-2
imake 1.0.10-2
imath 3.1.12-4
imlib2 1.12.5-1
impacket 0.12.0-2
inetutils 2.6-1
iniparser 4.2.6-2
inkscape 1.4.2-5
intel-compute-runtime 25.27.34303.5-1
intel-gmmlib 22.7.2-1
intel-graphics-compiler 1:2.14.1-1
intel-ucode 20250512-1
iodine 0.8.0-2
iperf3 3.19-1
ipmitool 1.8.19-4
iproute2 6.15.0-1
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.18.0-1
iw 6.9-1
iwd 3.9-1
jad 1.5.8e-12
jadx 1.5.1-1
jansson 2.14.1-1
jasper 4.2.5-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 24.0.2.u12-1
jdk11-openjdk 11.0.27.u6-3
jemalloc 1:5.3.0-5
jhead 3.08-3
john 1.9.0.jumbo1-11
jq 1.8.1-1
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
judy 1.0.5-8
kaccounts-integration 25.04.3-1
karchive 6.16.0-1
kauth 6.16.0-1
kbd 2.8.0-1
kbookmarks 6.16.0-1
kcmutils 6.16.0-1
kcodecs 6.16.0-1
kcolorscheme 6.16.0-1
kcompletion 6.16.0-1
kcompletion5 5.116.0-1
kconfig 6.16.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.16.0-1
kcoreaddons 6.16.0-1
kcoreaddons5 5.116.0-1
kcptun 20240702-1
kcrash 6.16.0-1
kcrash5 5.116.0-1
kdbusaddons 6.16.0-1
keyutils 1.6.3-3
kglobalaccel 6.16.0-1
kguiaddons 6.16.0-1
kguiaddons5 5.116.0-1
ki18n 6.16.0-1
ki18n5 5.116.0-1
kicad 9.0.3-1
kiconthemes 6.16.0-1
kio 6.16.0-1
kirigami 6.16.0-2
kismet 2023_07_R2-4
kitemviews 6.16.0-1
kitemviews5 5.116.0-1
kitty 0.42.2-1
kitty-shell-integration 0.42.2-1
kitty-terminfo 0.42.2-1
kjobwidgets 6.16.0-1
kmod 34.2-1
knotifications 6.16.0-1
komikku 1.82.0-1
kparts 6.16.0-1
kpty 6.16.0-1
krb5 1.21.3-2
krita 5.2.11-1
kservice 6.16.0-1
ktextwidgets 6.16.0-1
kwallet 6.16.0-1
kwidgetsaddons 6.16.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.16.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.16.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
layan-gtk-theme-git 2023052337ge7b9b36-1
lazygit 0.53.0-1
lcms2 2.17-1
ldb 2:4.22.3-1
leancrypto 1.5.1-1
lensfun 1:0.3.4-5
less 1:679-1
lf 36-1
lib2geom 1.4-2
libabw 0.1.3-5
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libad9361 0.3-2
libadwaita 1:1.7.5-1
libaec 1.1.4-2
libaemu 0.1.2-5
libaio 0.3.113-3
libao 1.2.2-7
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.8.1-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.3.0-1
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.3.1-1
libblockdev-crypto 3.3.1-1
libblockdev-fs 3.3.1-1
libblockdev-loop 3.3.1-1
libblockdev-mdraid 3.3.1-1
libblockdev-nvme 3.3.1-1
libblockdev-part 3.3.1-1
libblockdev-swap 3.3.1-1
libbluray 1.3.4-3
libbpf 1.5.1-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libburn 1.5.6-1
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcbor 0.12.0-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libclc 20.1.6-1
libcli 1.10.7-2
libcloudproviders 0.3.6-2
libcmis 0.6.2-5
libcolord 1.4.8-1
libconfig 1.8.1-1
libcups 2:2.4.12-2
libdaemon 0.14-6
libdaq 2.0.7-1
libdatachannel 0.22.6-1
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdca 0.0.7-2
libde265 1.0.16-1
libdecor 0.2.3-1
libdeflate 1.24-1
libdisplay-info 0.2.0-2
libdnet 1.18.0-1
libdovi 3.3.2-1
libdrm 2.4.125-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-18
libebml 1.4.5-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.1-1
libelf 0.193-2
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-3
libev 4.33-4
libevdev 1.13.4-1
libevent 2.1.12-4
libewf 20140816-1
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfabric 2.2.0-1
libfbclient 5.0.2.1613-2
libfdk-aac 2.0.3-1
libffi 3.5.1-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libftdi 1.5-7
libgcrypt 1.11.1-1
libgdiplus 6.2-1
libgexiv2 0.14.6-1
libgirepository 1.84.0-2
libgit2 1:1.9.1-1
libglvnd 1.7.0-3
libgme 0.6.4-1
libgovirt 2:0.3.9-2
libgpg-error 1.55-1
libgsf 1.14.53-2
libgtop 2.41.3-2
libgudev 238-3
libheif 1.20.1-1
libice 1.1.2-1
libiconv 1.18-1
libid3tag 0.16.3-2
libidn 1.43-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libiio 0.26-3
libimagequant 4.4.0-1
libimobiledevice 1.3.0-16
libimobiledevice-glue 1.3.2-1
libinih 58-1
libinput 1.28.1-1
libisl 0.27-1
libisoburn 1.5.6-1
libisofs 1.5.6-1
libixion 0.20.0-2
libjpeg-turbo 3.1.1-1
libjuice 1.6.0-1
libjxl 0.11.1-4
libkdcraw5 25.04.3-1
libkexiv2 25.04.3-1
libksba 1.6.7-2
liblangtag 0.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-2
liblphobos 3:1.41.0-1
liblqr 0.4.3-1
libluv 1.48.0_2-1
liblzf 3.6-5
libmad 0.15.1b-10
libmalcontent 0.13.0-1
libmanette 0.2.12-1
libmatroska 1.7.1-2
libmaxminddb 1.12.2-2
libmd 1.1.0-2
libmemcached-awesome 1.1.4-3
libmfx 23.2.2-4
libmgba 0.10.5-1
libmicrohttpd 1.0.2-1
libmm-glib 1.24.0-2
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpeg2 0.5.1-10
